,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1936,University of Oregon,24096,Oregon,162,1280,482,2042,99,3135,5393,1328,529,15039,12597,OR,Public,4 Year,12963.0,11898,24861,35478,48441,51800.0,95800.0,46.0,13.0
1937,University of Pennsylvania,24806,Pennsylvania,21,3717,1483,1799,8,4559,7805,777,1194,11248,13067,PA,Private,4 Year,15616.0,55584,71200,55584,71200,72800.0,133900.0,41.0,21.0
1938,University of Pikeville,2458,Kentucky,11,25,167,45,2,42,250,0,0,2166,1263,KY,Private,4 Year,7800.0,20950,28750,20950,28750,39000.0,70700.0,74.0,11.0
1939,University of Pittsburgh at Bradford,1499,Pennsylvania,4,26,155,72,1,54,284,26,67,1094,810,PA,Public,4 Year,9332.0,13900,23232,25144,34476,,,,
1940,University of Pittsburgh at Greensburg,1578,Pennsylvania,1,59,92,68,1,20,265,44,43,1250,819,PA,Public,4 Year,,13890,13890,25134,25134,,,,
1941,University of Pittsburgh at Johnstown,2869,Pennsylvania,2,32,94,32,3,66,209,46,35,2559,1304,PA,Public,4 Year,9980.0,13878,23858,25122,35102,,,,
1942,University of Pittsburgh at Titusville,371,Pennsylvania,0,10,61,12,1,1,94,10,6,270,237,PA,Public,2 Year,10996.0,11788,22784,21532,32528,,,,
1943,University of Portland,4143,Oregon,7,404,41,408,63,181,1260,337,108,2594,2448,OR,Private,4 Year,13450.0,45904,59354,45904,59354,58500.0,104900.0,52.0,28.0
1944,University of Puget Sound,2826,Washington,4,189,29,191,1,11,662,248,41,2112,1667,WA,Private,4 Year,12540.0,49776,62316,49776,62316,54200.0,101300.0,45.0,21.0
1945,University of Redlands,5333,California,34,362,313,1459,22,72,2363,173,574,2324,2940,CA,Private,4 Year,14278.0,49504,63782,49504,63782,,,,
1946,University of Rhode Island,16571,Rhode Island,44,534,803,1288,6,558,3069,394,1548,11396,9077,RI,Public,4 Year,12950.0,14138,27088,30862,43812,54500.0,99700.0,50.0,18.0
1947,University of Richmond,4182,Virginia,13,215,345,258,2,369,970,137,283,2560,2269,VA,Private,4 Year,12250.0,52610,64860,52610,64860,59800.0,107500.0,48.0,13.0
1948,University of Rio Grande,2202,Ohio,5,5,108,14,2,23,138,4,250,1791,1378,OH,Private,4 Year,11166.0,27470,38636,27470,38636,,,,
1949,University of Rochester,11060,New York,28,915,491,533,5,2610,2213,241,922,5315,5626,NY,Private,4 Year,15938.0,53926,69864,53926,69864,61100.0,112700.0,50.0,32.0
1950,University of Saint Joseph,2565,Connecticut,2,116,252,223,3,25,628,32,496,1416,2284,CT,Private,4 Year,11428.0,39173,50601,39173,50601,49900.0,88800.0,63.0,9.0
1951,University of San Diego,8349,California,42,641,291,1505,30,611,2917,408,415,4406,4761,CA,Private,4 Year,12980.0,49358,62338,49358,62338,58900.0,109400.0,48.0,12.0
1952,University of San Francisco,10689,California,26,1881,464,1919,69,1716,4994,635,487,3492,6724,CA,Private,4 Year,14830.0,48066,62896,48066,62896,60600.0,109900.0,52.0,6.0
1953,University of Science and Arts of Oklahoma,904,Oklahoma,102,9,37,56,0,71,259,55,2,572,583,OK,Public,4 Year,6350.0,7215,13565,17565,23915,37300.0,67400.0,49.0,11.0
1954,University of Scranton,5589,Pennsylvania,6,149,155,388,2,131,817,117,211,4430,3192,PA,Private,4 Year,15182.0,44532,59714,44532,59714,56400.0,99700.0,42.0,12.0
1955,University of Sioux Falls,1419,South Dakota,4,8,46,17,2,9,125,48,13,1272,868,SD,Private,4 Year,7350.0,18280,25630,18280,25630,44400.0,78200.0,64.0,6.0
1956,University of South Alabama,15805,Alabama,100,539,3285,402,33,667,4684,325,352,10102,9700,AL,Public,4 Year,7620.0,9870,17490,19740,27360,47700.0,86400.0,56.0,17.0
1957,University of South Dakota,10061,South Dakota,168,151,227,232,51,236,1061,232,120,8644,6151,SD,Public,4 Year,8216.0,9061,17277,12425,20641,47500.0,87900.0,56.0,8.0
1958,University of South Florida,41938,Florida,87,2662,4298,7412,107,3242,15869,1303,821,22006,23382,FL,Public,4 Year,11610.0,6410,18020,17324,28934,,,,
1959,University of Southern California,42453,California,73,7696,2238,5286,104,9709,16777,1380,2045,13922,22112,CA,Private,4 Year,15395.0,56225,71620,56225,71620,64500.0,120600.0,47.0,23.0
1960,University of Southern Indiana,9364,Indiana,23,108,414,206,7,225,937,179,185,8017,5825,IN,Public,4 Year,8838.0,7970,16808,18626,27464,,,,
1961,University of Southern Maine,8428,Maine,76,164,224,147,7,69,787,169,1184,6388,5002,ME,Public,4 Year,9450.0,9520,18970,22780,32230,46900.0,81300.0,55.0,8.0
1962,University of Southern Mississippi,14792,Mississippi,48,172,4033,457,14,375,5040,316,69,9308,9344,MS,Public,4 Year,9857.0,8734,18591,10734,20591,45100.0,83900.0,56.0,11.0
1963,University of Tampa,7683,Florida,17,127,404,914,6,923,1659,191,666,4435,4299,FL,Private,4 Year,10810.0,29208,40018,29208,40018,,,,
1964,University of Texas Health Science Center at Houston,4556,Texas,8,692,365,695,8,570,1872,104,192,1922,2934,TX,Public,4 Year,,6380,6380,27710,27710,,,,
1965,University of Texas at Arlington,39740,Texas,107,3704,5602,8186,106,4419,18849,1144,319,16153,23733,TX,Public,4 Year,10302.0,10250,20552,25134,35436,,,,
1966,University of Texas at Austin,51313,Texas,96,8324,1961,9836,59,4863,21852,1576,530,24068,26064,TX,Public,4 Year,10804.0,10606,21410,37480,48284,,,,
1967,University of Texas at Dallas,23095,Texas,42,4605,1199,2956,29,5452,9544,713,425,7674,9991,TX,Public,4 Year,11532.0,13034,24566,36876,48408,,,,
1968,University of Texas at El Paso,23079,Texas,53,209,636,18357,27,1536,19417,135,148,1978,12457,TX,Public,4 Year,5040.0,7998,13038,22529,27569,,,,
1969,University of Texas at San Antonio,28628,Texas,59,1485,2471,13849,55,1677,18750,831,311,7890,14091,TX,Public,4 Year,11578.0,9900,21478,24262,35840,,,,
1970,University of Texas at Tyler,8036,Texas,25,237,814,1172,6,304,2776,522,161,4795,4731,TX,Public,4 Year,9502.0,8292,17794,21522,31024,,,,
1971,University of Texas of the Permian Basin,5560,Texas,49,153,340,2318,12,66,2909,37,189,2396,3270,TX,Public,4 Year,9846.0,7124,16970,19574,29420,,,,
1972,University of Toledo,20626,Ohio,36,594,2455,836,15,1688,4416,480,724,13798,10295,OH,Public,4 Year,11434.0,9795,21229,19133,30567,51800.0,92500.0,52.0,21.0
1973,University of Tulsa,4682,Oklahoma,240,128,183,189,4,1225,812,68,139,2506,1990,OK,Private,4 Year,11116.0,41509,52625,41509,52625,58700.0,107200.0,51.0,36.0
1974,University of Utah,31515,Utah,126,1590,401,2718,171,2804,5995,989,1218,21498,14028,UT,Public,4 Year,10262.0,9222,19484,29215,39477,54800.0,102600.0,57.0,22.0
1975,University of Vermont,12856,Vermont,32,388,166,533,4,553,1454,331,520,10329,7144,VT,Public,4 Year,12462.0,18276,30738,42516,54978,53200.0,99400.0,50.0,22.0
1976,University of Virginia,23732,Virginia,37,2392,1309,1242,11,2013,5873,882,1235,14611,12825,VA,Public,4 Year,11590.0,17564,29154,48465,60055,,,,
1977,University of Virginia's College at Wise,2183,Virginia,6,20,223,40,0,0,298,9,159,1726,1315,VA,Public,4 Year,10438.0,10119,20557,27176,37614,,,,
1978,University of Washington,44784,Washington,233,8702,1093,2917,160,6677,15512,2407,1580,21015,23369,WA,Public,4 Year,12798.0,11517,24315,36898,49696,,,,
