,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
487,Daemen College,2800,New York,8,59,269,132,5,36,488,15,242,2034,2048,NY,Private,4 Year,12915.0,28580,41495,28580,41495,,,,
488,Dakota College at Bottineau,753,North Dakota,17,1,126,28,5,13,201,24,82,457,359,ND,Public,2 Year,7210.0,4568,11778,6444,13654,,,,
489,Dakota County Technical College,2910,Minnesota,13,100,228,162,3,20,605,99,112,2173,1221,MN,Public,2 Year,,5712,5712,5712,5712,,,,
490,Dakota State University,3047,South Dakota,25,61,144,115,6,116,426,75,61,2444,1364,SD,Public,4 Year,6873.0,9276,16149,12249,19122,48400.0,84300.0,49.0,53.0
491,Dakota Wesleyan University,870,South Dakota,9,2,15,23,0,14,67,18,3,786,494,SD,Private,4 Year,7350.0,27300,34650,27300,34650,41800.0,75700.0,52.0,10.0
492,Dallas Baptist University,5445,Texas,39,122,1097,645,6,567,1909,0,0,2969,3243,TX,Private,4 Year,7992.0,28870,36862,28870,36862,,,,
493,Dallas Christian College,309,Texas,3,0,91,57,2,3,163,10,2,141,133,TX,Private,4 Year,9010.0,17620,26630,17620,26630,,,,
494,Dallas Institute of Funeral Service,128,Texas,1,0,36,24,0,0,61,0,0,67,75,TX,Private,2 Year,,11870,11870,11870,11870,,,,
495,Dalton State College,4854,Georgia,20,58,232,957,8,113,1338,63,204,3199,2923,GA,Public,4 Year,8950.0,4246,13196,12668,21618,,,,
496,Danville Area Community College,3207,Illinois,14,40,426,148,5,1,657,24,250,2299,1726,IL,Public,2 Year,,4650,4650,7950,7950,,,,
497,Danville Community College,3982,Virginia,11,26,1320,104,5,5,1519,53,18,2440,2208,VA,Public,2 Year,,4710,4710,10008,10008,,,,
498,Dartmouth College,6298,New Hampshire,102,775,341,446,7,964,1916,245,450,2968,2967,NH,Private,4 Year,15756.0,55453,71209,55453,71209,71500.0,130900.0,44.0,35.0
499,Davenport University,8715,Michigan,36,363,1327,200,11,301,2139,202,1290,4985,5267,MI,Private,4 Year,9928.0,22800,32728,22800,32728,,,,
500,Davidson College,1770,North Carolina,11,102,114,117,0,104,415,71,31,1220,895,NC,Private,4 Year,14372.0,51447,65819,51447,65819,57300.0,106900.0,50.0,28.0
501,Davidson County Community College,4102,North Carolina,33,70,730,257,3,0,1175,82,65,2862,2608,NC,Public,2 Year,,2435,2435,8195,8195,,,,
502,Davis College,193,Ohio,1,0,74,6,0,0,81,0,3,109,157,NY,Private,4 Year,8100.0,17150,25250,17150,25250,,,,
503,Dawson Community College,305,Montana,8,19,11,12,0,5,50,0,26,224,165,MT,Public,2 Year,6075.0,3720,9795,7770,13845,,,,
504,Daytona State College,13248,Florida,50,276,1672,1704,29,35,3948,217,172,9093,8090,FL,Public,2 Year,,3109,3109,11998,11998,,,,
505,De Anza College,23104,California,33,7956,784,6081,88,2110,16014,1072,206,4774,11187,CA,Public,2 Year,,1515,1515,8940,8940,,,,
506,DePaul University,23799,Illinois,19,1777,2123,3388,37,1381,8139,795,1408,12871,12650,IL,Private,4 Year,14235.0,39975,54210,39975,54210,55700.0,102900.0,43.0,15.0
507,DePauw University,2215,Indiana,6,75,126,76,0,208,427,144,63,1517,1201,IN,Private,4 Year,13020.0,49704,62724,49704,62724,56600.0,101000.0,47.0,24.0
508,DeSales University,3190,Pennsylvania,18,93,135,267,4,0,517,0,266,2407,1932,PA,Private,4 Year,12800.0,37600,50400,37600,50400,,,,
509,Dean College,1325,Massachusetts,5,23,179,72,1,117,318,38,236,654,708,MA,Private,2 Year,16836.0,39734,56570,39734,56570,,,,
510,Defiance College,920,Ohio,9,7,104,45,0,13,171,6,30,706,450,OH,Private,4 Year,10220.0,32730,42950,32730,42950,,,,
511,Del Mar College,10439,Texas,29,190,299,6620,19,16,7483,326,90,2850,5854,TX,Public,2 Year,,3170,3170,5780,5780,,,,
512,Delaware College of Art and Design,185,Delaware,0,2,37,16,0,6,78,23,13,88,124,DE,Private,2 Year,12450.0,25395,37845,25395,37845,,,,
513,Delaware State University,4397,Delaware,12,47,2916,226,5,216,3366,160,276,539,2760,DE,Public,4 Year,12190.0,7868,20058,16904,29094,46300.0,81900.0,62.0,10.0
514,Delgado Community College,17152,Louisiana,75,532,7725,1512,19,248,10252,389,1096,5556,11469,LA,Public,2 Year,,4079,4079,5154,5154,,,,
515,Delta College,9842,Michigan,58,81,926,655,4,20,1745,21,247,7830,5443,MI,Public,2 Year,,3400,3400,10870,10870,,,,
516,Delta State University,3614,Mississippi,4,24,1325,45,5,111,1426,23,41,2036,2244,MS,Public,4 Year,7722.0,7246,14968,7246,14968,40800.0,74200.0,63.0,5.0
517,Denison University,2278,Ohio,1,84,158,229,2,165,554,80,44,1515,1313,OH,Private,4 Year,12710.0,51960,64670,51960,64670,54400.0,104800.0,45.0,22.0
518,Denmark Technical College,1678,South Carolina,5,1,1612,5,0,0,1623,0,3,52,1020,SC,Public,2 Year,4024.0,5400,9424,9150,13174,,,,
519,Des Moines Area Community College,23526,Iowa,88,845,1440,1509,14,185,4470,574,1012,17859,12463,IA,Public,2 Year,7302.0,4710,12012,9420,16722,,,,
520,Design Institute of San Diego,171,California,0,12,9,30,0,14,51,0,1,105,156,CA,For Profit,4 Year,,23860,23860,23860,23860,,,,
521,Diablo Valley College,20089,California,38,3107,1127,4626,90,1580,10520,1532,263,7726,10285,CA,Public,2 Year,,1390,1390,9160,9160,,,,
522,Dickinson College,2364,Pennsylvania,1,55,97,142,1,203,376,80,46,1739,1373,PA,Private,4 Year,13698.0,54661,68359,54661,68359,55800.0,100100.0,46.0,25.0
523,Dickinson State University,1479,North Dakota,14,9,60,66,4,80,191,38,41,1167,888,ND,Public,4 Year,6898.0,6765,13663,9544,16442,46400.0,81200.0,55.0,8.0
524,DigiPen Institute of Technology,1018,Washington,0,53,6,51,4,168,174,60,272,404,202,WA,For Profit,4 Year,,30350,30350,30350,30350,,,,
525,Dillard University,1200,Louisiana,0,0,1108,6,0,26,1123,9,47,4,871,LA,Private,4 Year,10100.0,18099,28199,18099,28199,44700.0,79800.0,74.0,20.0
526,Dine College,1488,Arizona,1467,6,2,2,0,0,1477,0,1,10,981,AZ,Public,2 Year,4610.0,1410,6020,1410,6020,,,,
527,Divine Word College,96,Iowa,0,27,4,12,0,50,43,0,0,3,35,IA,Private,4 Year,3700.0,13485,17185,13485,17185,,,,
528,Dodge City Community College,1768,Kansas,9,18,200,645,2,6,899,25,0,863,880,KS,Public,2 Year,6650.0,2840,9490,3680,10330,,,,
529,Dominican College of Blauvelt,1980,New York,1,230,258,438,0,36,935,8,356,653,1272,NY,Private,4 Year,13150.0,29000,42150,29000,42150,,,,
530,Dominican University,3498,Illinois,3,127,315,1135,7,89,1612,25,176,1621,2441,IL,Private,4 Year,10241.0,33434,43675,33434,43675,,,,
531,Dominican University of California,2001,California,9,335,75,356,19,40,872,78,306,783,1492,CA,Private,4 Year,14810.0,45850,60660,45850,60660,,,,
532,Donnelly College,463,Kansas,2,46,135,183,0,27,390,24,0,46,329,KS,Private,2 Year,,9000,9000,9000,9000,,,,
533,Dordt College,1459,Iowa,3,13,22,12,103,122,153,0,128,1056,672,IA,Private,4 Year,9590.0,30870,40460,30870,40460,51000.0,89600.0,57.0,17.0
534,Drake University,5062,Iowa,10,200,160,163,1,281,613,79,58,4110,2974,IA,Private,4 Year,10528.0,41396,51924,41396,51924,52800.0,99900.0,49.0,7.0
535,Drew University,2113,New Jersey,4,105,249,204,2,180,616,52,301,1016,1247,NJ,Private,4 Year,14108.0,39500,53608,39500,53608,52800.0,95000.0,37.0,16.0
536,Drexel University,26359,Pennsylvania,40,3083,2055,1424,108,3299,7401,691,1100,14559,13833,PA,Private,4 Year,14079.0,53279,67358,53279,67358,61700.0,114800.0,47.0,28.0
537,Drury University,4215,Missouri,41,48,159,206,7,196,545,84,0,3474,2548,MO,Private,4 Year,8096.0,28365,36461,28365,36461,42600.0,79400.0,60.0,12.0
538,Duke University,15856,North Carolina,66,2268,1156,797,20,2899,4676,369,494,7787,7891,NC,Private,4 Year,15178.0,55695,70873,55695,70873,71100.0,132100.0,50.0,26.0
539,Duquesne University,9648,Pennsylvania,13,188,459,251,9,557,1122,202,200,7769,5850,PA,Private,4 Year,12586.0,38178,50764,38178,50764,,,,
540,Durham Technical Community College,5035,North Carolina,23,225,2252,549,9,13,3147,89,231,1644,3039,NC,Public,2 Year,,2372,2372,8132,8132,,,,
541,Dutchess Community College,9905,New York,20,277,1110,1638,6,101,3388,337,115,6301,5337,NY,Public,2 Year,11518.0,4404,15922,8268,19786,,,,
542,Dyersburg State Community College,2847,Tennessee,9,18,510,76,2,3,668,53,20,2156,1859,TN,Public,2 Year,,4235,4235,16523,16523,,,,
543,ETI Technical College of Niles,152,Ohio,0,2,40,2,0,0,44,0,0,108,84,OH,For Profit,2 Year,,10653,10653,10653,10653,,,,
544,East Arkansas Community College,1268,Arkansas,5,14,464,17,1,0,511,10,0,757,826,AR,Public,2 Year,,2880,2880,3720,3720,,,,
545,East Carolina University,27511,North Carolina,181,782,4359,1498,26,252,7634,788,567,19058,16451,NC,Public,4 Year,9606.0,7188,16794,23465,33071,48400.0,85400.0,55.0,11.0
546,East Central College,3606,Missouri,17,19,36,46,3,0,122,1,61,3423,2211,MO,Public,2 Year,,3240,3240,6120,6120,,,,
547,East Central Community College,2544,Mississippi,140,8,906,46,6,5,1122,16,10,1407,1489,MS,Public,2 Year,3830.0,2870,6700,4970,8800,,,,
548,East Georgia State College,2910,Georgia,6,29,1273,111,1,8,1495,75,27,1380,1673,GA,Public,2 Year,9084.0,3666,12750,11412,20496,,,,
549,East Los Angeles College,36012,California,67,3461,1476,24235,62,713,29427,126,3552,2320,17706,CA,Public,2 Year,,1404,1404,8934,8934,,,,
550,East Mississippi Community College,4127,Mississippi,11,14,1895,57,1,0,2061,83,71,1995,2391,MS,Public,2 Year,4800.0,3440,8240,6440,11240,,,,
551,East Stroudsburg University of Pennsylvania,6819,Pennsylvania,11,109,712,700,10,96,1740,198,546,4437,3780,PA,Public,4 Year,9700.0,11084,20784,23516,33216,,,,
552,East Tennessee State University,14434,Tennessee,38,232,860,290,9,488,1770,341,209,11967,8369,TN,Public,4 Year,8472.0,9277,17749,28459,36931,43700.0,77300.0,57.0,8.0
553,East Texas Baptist University,1299,Texas,8,4,270,140,2,25,467,43,10,797,680,TX,Private,4 Year,9079.0,26370,35449,26370,35449,,,,
554,East-West University,555,Illinois,2,66,330,116,1,9,528,13,4,14,316,IL,Private,4 Year,,20970,20970,20970,20970,,,,
555,Eastern Arizona College,6379,Arizona,449,64,222,1251,27,48,2070,57,205,4056,3427,AZ,Public,2 Year,6790.0,2700,9490,8700,15490,,,,
556,Eastern Connecticut State University,5287,Connecticut,16,151,346,482,6,55,1138,137,428,3666,2798,CT,Public,4 Year,13560.0,11356,24916,22596,36156,49200.0,87800.0,43.0,14.0
557,Eastern Gateway Community College,3182,Ohio,17,15,834,68,3,3,1034,97,71,2074,2028,OH,Public,2 Year,,4040,4040,7280,7280,,,,
558,Eastern Illinois University,8913,Illinois,21,80,1500,444,6,273,2220,169,190,6230,5379,IL,Public,4 Year,9882.0,11803,21685,14023,23905,,,,
559,Eastern Kentucky University,16305,Kentucky,49,142,967,333,19,297,1867,357,596,13545,9373,KY,Public,4 Year,9018.0,9296,18314,19074,28092,45600.0,80700.0,56.0,5.0
560,Eastern Maine Community College,2613,Maine,42,26,40,36,4,17,189,41,228,2179,1316,ME,Public,2 Year,8930.0,3816,12746,6636,15566,,,,
561,Eastern Mennonite University,1695,Virginia,3,43,125,101,2,55,296,22,66,1278,1116,VA,Private,4 Year,11160.0,37100,48260,37100,48260,,,,
562,Eastern Michigan University,22401,Michigan,52,565,4059,830,15,755,6225,704,562,14859,13362,MI,Public,4 Year,9854.0,13959,23813,13959,23813,47300.0,86700.0,50.0,6.0
563,Eastern Nazarene College,1211,Massachusetts,6,20,262,145,3,30,473,37,30,678,834,MA,Private,4 Year,9624.0,25598,35222,25598,35222,,,,
564,Eastern New Mexico University,5879,New Mexico,156,66,256,1937,26,126,2586,145,435,2732,3478,NM,Public,4 Year,7162.0,6206,13368,8128,15290,,,,
565,Eastern Oklahoma State College,1673,Oklahoma,434,16,102,79,5,2,677,41,16,978,1121,OK,Public,2 Year,5777.0,4697,10474,8314,14091,,,,
566,Eastern Oregon University,3653,Oregon,83,77,99,229,36,50,571,47,255,2777,2341,OR,Public,4 Year,10040.0,8679,18719,20739,30779,44000.0,73900.0,56.0,5.0
567,Eastern Shore Community College,839,Virginia,2,9,303,70,2,6,410,24,5,418,516,VA,Public,2 Year,,4800,4800,10728,10728,,,,
568,Eastern University,3762,Pennsylvania,17,75,1012,420,4,126,1545,17,261,1830,2594,PA,Private,4 Year,11254.0,33122,44376,33122,44376,,,,
569,Eastern Washington University,13453,Washington,167,395,432,1772,37,404,3407,604,975,8667,7482,WA,Public,4 Year,12793.0,7323,20116,24444,37237,49500.0,87500.0,52.0,17.0
570,Eastern West Virginia Community and Technical College,914,West Virginia,0,0,11,1,0,0,31,19,3,880,670,WV,Public,2 Year,,5160,5160,8651,8651,,,,
571,Eastern Wyoming College,1704,Wyoming,18,10,18,126,6,2,195,17,1,1506,956,WY,Public,2 Year,6320.0,3096,9416,7608,13928,,,,
572,Eastfield College,15112,Texas,52,641,3722,6418,16,18,11008,159,364,3722,9046,TX,Public,2 Year,,1770,1770,5220,5220,,,,
573,Ecclesia College,164,Arkansas,3,2,20,19,0,17,47,3,4,96,56,AR,Private,4 Year,5810.0,15140,20950,15140,20950,,,,
574,Eckerd College,2083,Florida,7,35,101,163,4,89,370,60,28,1596,1293,FL,Private,4 Year,12588.0,44540,57128,44540,57128,49200.0,88400.0,52.0,25.0
575,Edgecombe Community College,2552,North Carolina,15,7,1594,69,4,0,1725,36,32,795,1877,NC,Public,2 Year,,2757,2757,8901,8901,,,,
576,Edgewood College,2980,Wisconsin,11,73,82,152,4,125,388,66,230,2237,2147,WI,Private,4 Year,11020.0,29500,40520,29500,40520,49500.0,87500.0,54.0,5.0
577,Edinboro University of Pennsylvania,6837,Pennsylvania,13,55,555,181,5,113,961,152,83,5680,4225,PA,Public,4 Year,9408.0,10543,19951,15062,24470,,,,
578,Edison State Community College,3042,Ohio,17,29,107,41,0,1,241,47,107,2693,1950,OH,Public,2 Year,,4699,4699,8608,8608,,,,
579,Edmonds Community College,8993,Washington,88,1124,494,688,37,1105,2872,441,849,4167,4692,WA,Public,2 Year,7400.0,4471,11871,4471,11871,,,,
580,Edward Waters College,929,Florida,0,1,818,28,2,0,875,26,20,34,429,FL,Private,4 Year,7282.0,13725,21007,13725,21007,,,,
581,El Camino College,24207,California,35,3150,3884,11979,120,588,20237,1069,170,3212,12487,CA,Public,2 Year,,1419,1419,9519,9519,,,,
582,El Centro College,10549,Texas,39,458,3111,4264,8,21,7975,95,355,2198,7025,TX,Public,2 Year,,1770,1770,5220,5220,,,,
583,El Paso Community College,28308,Texas,97,196,680,24203,43,548,25229,10,316,2215,16097,TX,Public,2 Year,,3540,3540,6060,6060,,,,
584,Elgin Community College,10929,Illinois,29,691,471,4228,7,36,5670,244,296,4927,5970,IL,Public,2 Year,,3972,3972,14946,14946,,,,
585,Elizabeth City State University,1867,North Carolina,6,7,1366,25,1,4,1421,16,153,289,1105,NC,Public,4 Year,8840.0,3194,12034,7194,16034,,,,
586,Elizabethtown College,1822,Pennsylvania,8,32,46,66,2,68,182,28,0,1572,1156,PA,Private,4 Year,11370.0,46940,58310,46940,58310,,,,
587,Elizabethtown Community and Technical College,7314,Kentucky,32,66,539,256,18,2,1120,209,234,5958,3842,KY,Public,2 Year,,5310,5310,18000,18000,,,,
588,Ellsworth Community College,949,Iowa,4,1,167,59,3,13,254,20,93,589,440,IA,Public,2 Year,5970.0,5970,11940,7140,13110,,,,
589,Elmhurst College,3257,Illinois,4,155,154,458,6,21,871,94,77,2288,1980,IL,Private,4 Year,10366.0,37055,47421,37055,47421,,,,
590,Elmira Business Institute,400,New York,3,2,27,12,1,1,46,1,21,332,323,NY,For Profit,2 Year,,14850,14850,14850,14850,,,,
591,Elmira College,1482,New York,9,26,53,40,0,69,162,34,251,1000,1030,NY,Private,4 Year,12000.0,41900,53900,41900,53900,,,,
592,Elms College,1717,Massachusetts,11,39,123,128,0,17,301,0,525,874,1318,MA,Private,4 Year,13108.0,35788,48896,35788,48896,,,,
593,Elon University,6483,North Carolina,29,146,391,316,3,107,995,110,92,5289,3856,NC,Private,4 Year,12230.0,35319,47549,35319,47549,53600.0,93700.0,43.0,7.0
594,Emerson College,4545,Massachusetts,3,171,139,432,2,370,938,191,347,2890,2900,MA,Private,4 Year,17690.0,46852,64542,46852,64542,,,,
595,Emmaus Bible College,216,Iowa,2,3,12,12,2,1,38,7,16,161,121,IA,Private,4 Year,8500.0,18400,26900,18400,26900,,,,
596,Emory & Henry College,1038,Virginia,7,5,103,20,1,14,161,25,69,794,522,VA,Private,4 Year,12100.0,35135,47235,35135,47235,,,,
597,Emory University,14769,Georgia,26,2281,1474,874,8,2357,5001,338,776,6635,8349,GA,Private,4 Year,14456.0,51306,65762,51306,65762,62000.0,110800.0,44.0,20.0
598,Emporia State University,6114,Kansas,29,52,272,339,7,551,985,286,163,4415,3838,KS,Public,4 Year,8912.0,6758,15670,20675,29587,43500.0,78000.0,60.0,9.0
599,Endicott College,4429,Massachusetts,5,50,115,144,2,66,371,55,392,3600,2951,MA,Private,4 Year,15726.0,33050,48776,33050,48776,,,,
600,Enterprise State Community College,2011,Alabama,22,43,475,99,7,2,699,53,13,1297,900,AL,Public,2 Year,,4500,4500,8130,8130,,,,
601,Erskine College,753,South Carolina,3,6,125,22,0,0,156,0,139,458,328,SC,Private,4 Year,10900.0,34560,45460,34560,45460,43500.0,78000.0,57.0,28.0
602,Essex County College,11468,New Jersey,23,344,5546,2825,27,909,8837,72,707,1015,6712,NJ,Public,2 Year,,4995,4995,8790,8790,,,,
603,Estrella Mountain Community College,9164,Arizona,108,353,803,4322,19,19,5809,204,398,2938,5438,AZ,Public,2 Year,,2580,2580,9810,9810,,,,
604,Eureka College,664,Illinois,2,5,35,15,3,5,79,19,23,557,374,IL,Private,4 Year,9620.0,25390,35010,25390,35010,,,,
605,Evangel University,2006,Missouri,16,36,83,94,0,10,290,61,147,1559,1117,MO,Private,4 Year,8522.0,23296,31818,23296,31818,,,,
606,Everett Community College,7516,Washington,93,444,194,635,27,272,1873,480,1011,4360,4179,WA,Public,2 Year,8500.0,4417,12917,4417,12917,,,,
607,Evergreen State College,4219,Washington,109,91,227,324,13,19,1078,314,354,2768,2321,WA,Public,4 Year,11346.0,7949,19295,26459,37805,,,,
608,Evergreen Valley College,9133,California,54,3522,263,3678,43,37,7787,227,634,675,4887,CA,Public,2 Year,,1416,1416,8526,8526,,,,
609,Fairfield University,5123,Connecticut,3,113,137,352,5,340,677,67,529,3577,3081,CT,Private,4 Year,14710.0,48350,63060,48350,63060,62300.0,116900.0,41.0,17.0
610,Fairmont State University,4035,West Virginia,15,18,214,76,3,106,422,96,35,3472,2255,WV,Public,4 Year,9004.0,7514,16518,16324,25328,42900.0,74100.0,53.0,7.0
611,Faith Baptist Bible College and Theological Seminary,292,Iowa,3,4,6,3,2,0,22,4,0,270,147,IA,Private,4 Year,6800.0,16876,23676,16876,23676,,,,
612,Family of Faith College,24,Oklahoma,4,0,1,0,0,8,5,0,0,11,17,OK,Private,4 Year,2400.0,6400,8800,6400,8800,,,,
613,Fashion Institute of Technology,9764,New York,16,984,939,1573,27,1211,3871,332,158,4524,8266,NY,Public,4 Year,14480.0,5740,20220,15520,30000,,,,
614,Faulkner University,3335,Alabama,24,19,1505,71,3,49,1674,52,94,1518,2002,AL,Private,4 Year,7750.0,21690,29440,21690,29440,39400.0,71300.0,61.0,2.0
615,Fayetteville State University,5899,North Carolina,156,93,3793,376,11,17,4476,47,296,1110,4102,NC,Public,4 Year,8236.0,4915,13151,16523,24759,,,,
616,Fayetteville Technical Community College,12103,North Carolina,291,190,5068,1124,62,80,7172,437,418,4433,7275,NC,Public,2 Year,,2392,2392,8152,8152,,,,
617,Feather River College,1715,California,38,51,245,302,20,40,661,5,62,952,733,CA,Public,2 Year,5350.0,1461,6811,8511,13861,,,,
618,Felician University,1953,New Jersey,10,134,382,486,11,52,1035,12,149,717,1450,NJ,Private,4 Year,12880.0,34315,47195,34315,47195,53200.0,98200.0,51.0,10.0
619,Ferris State University,14600,Michigan,78,207,1013,556,7,439,2304,443,474,11383,7744,MI,Public,4 Year,9894.0,12630,22524,12630,22524,50000.0,89300.0,50.0,8.0
620,Ferrum College,1451,Virginia,6,8,436,77,3,14,599,69,43,795,685,VA,Private,4 Year,11500.0,34175,45675,34175,45675,43000.0,80600.0,54.0,6.0
621,Finger Lakes Community College,6793,New York,26,49,385,286,0,9,851,105,950,4983,3889,NY,Public,2 Year,9737.0,5158,14895,7450,17187,,,,
622,Finlandia University,493,Michigan,4,5,19,19,4,35,63,12,51,344,281,MI,Private,4 Year,8800.0,22758,31558,22758,31558,,,,
623,Fisher College,1875,Massachusetts,6,25,169,157,3,123,383,23,748,621,1366,MA,Private,4 Year,15926.0,31384,47310,31384,47310,,,,
624,Fisk University,772,Tennessee,0,6,653,18,1,0,690,12,74,8,486,TN,Private,4 Year,10790.0,21480,32270,21480,32270,45300.0,83600.0,53.0,39.0
625,Fitchburg State University,6810,Massachusetts,11,123,354,488,1,83,1114,137,354,5259,4321,MA,Public,4 Year,10922.0,10355,21277,16435,27357,,,,
626,Five Towns College,687,New York,3,28,136,102,0,1,295,26,40,351,230,NY,For Profit,4 Year,12820.0,21640,34460,21640,34460,,,,
627,Flathead Valley Community College,2161,Montana,57,25,7,31,12,1,132,0,263,1765,1269,MT,Public,2 Year,,4638,4638,11778,11778,,,,
628,Florence-Darlington Technical College,6215,South Carolina,56,41,3117,111,2,3,3360,33,333,2519,4088,SC,Public,2 Year,,5540,5540,8210,8210,,,,
629,Florida Atlantic University,30297,Florida,57,1318,5678,7255,36,738,15268,924,260,14031,17277,FL,Public,4 Year,11896.0,6039,17935,21595,33491,49400.0,91200.0,51.0,15.0
630,Florida College,555,Florida,8,4,28,21,3,9,94,30,1,451,278,FL,Private,4 Year,8370.0,17142,25512,17142,25512,,,,
631,Florida Gateway College,2912,Florida,11,31,332,132,0,4,526,20,26,2356,1879,FL,Public,2 Year,,3100,3100,11747,11747,,,,
632,Florida Gulf Coast University,14473,Florida,29,235,1062,2648,18,231,4365,373,175,9702,8174,FL,Public,4 Year,10156.0,6118,16274,25162,35318,,,,
633,Florida Institute of Technology,6393,Florida,28,174,533,359,17,2244,1208,97,535,2406,2110,FL,Private,4 Year,12880.0,41850,54730,41850,54730,58300.0,105400.0,53.0,48.0
634,Florida International University,49610,Florida,42,1434,5977,31211,57,3619,39763,1042,545,5683,27757,FL,Public,4 Year,10882.0,6558,17440,18956,29838,49600.0,90100.0,51.0,16.0
635,Florida Keys Community College,1033,Florida,5,23,74,31,5,3,156,18,190,684,573,FL,Public,2 Year,10200.0,3277,13477,13162,23362,,,,
636,Florida Memorial University,1528,Florida,0,3,1101,71,0,192,1185,10,142,9,948,FL,Private,4 Year,7816.0,15536,23352,15536,23352,,,,
637,Florida Southern College,2670,Florida,13,50,183,266,5,130,601,84,32,1907,1681,FL,Private,4 Year,11650.0,36348,47998,36348,47998,,,,
638,Florida State College at Jacksonville,25514,Florida,79,913,6481,1725,127,213,9888,563,2943,12470,15280,FL,Public,2 Year,,3146,3146,12038,12038,,,,
639,Florida State University,41226,Florida,116,1029,3377,6594,59,1875,12238,1063,647,26466,22645,FL,Public,4 Year,10816.0,6516,17332,21683,32499,50800.0,92700.0,49.0,18.0
640,Folsom Lake College,7942,California,63,756,213,1330,47,24,2849,440,165,4904,4568,CA,Public,2 Year,,1450,1450,9580,9580,,,,
641,Fond du Lac Tribal and Community College,2215,Minnesota,175,17,88,59,2,3,455,114,39,1718,1232,MN,Public,2 Year,3598.0,5258,8856,5258,8856,,,,
642,Fontbonne University,1819,Missouri,4,22,310,42,1,186,400,21,30,1203,1278,MO,Private,4 Year,10530.0,26340,36870,26340,36870,,,,
643,Foothill College,15030,California,29,3555,601,3437,103,1238,8513,788,268,5011,7331,CA,Public,2 Year,,1499,1499,9419,9419,,,,
644,Fordham University,15231,New York,18,1164,959,1879,15,1902,4455,420,509,8365,8903,NY,Private,4 Year,17969.0,52687,70656,52687,70656,58700.0,112500.0,38.0,10.0
645,Forsyth Technical Community College,9148,North Carolina,43,173,2613,700,11,62,3732,192,164,5190,5526,NC,Public,2 Year,,2446,2446,8206,8206,,,,
646,Fort Hays State University,13825,Kansas,56,130,514,877,15,3562,1873,281,200,8190,8367,KS,Public,4 Year,8300.0,5133,13433,15201,23501,45100.0,79300.0,64.0,6.0
647,Fort Lewis College,3791,Colorado,887,24,31,388,8,53,1565,227,108,2065,1846,CO,Public,4 Year,9878.0,9040,18918,19696,29574,48300.0,82600.0,55.0,19.0
648,Fort Peck Community College,346,Montana,297,4,1,4,0,0,306,0,1,39,210,MT,Public,2 Year,6075.0,2520,8595,2520,8595,,,,
649,Fort Scott Community College,1816,Kansas,23,15,140,67,7,10,314,62,2,1490,939,KS,Public,2 Year,5770.0,2880,8650,3330,9100,,,,
650,Fort Valley State University,2594,Georgia,4,3,2372,31,1,15,2444,33,3,132,1607,GA,Public,4 Year,8372.0,6664,15036,19740,28112,,,,
651,Fox Valley Technical College,10519,Wisconsin,125,430,236,414,13,57,1250,32,1177,8035,5053,WI,Public,2 Year,,4565,4565,6578,6578,,,,
652,Framingham State University,6499,Massachusetts,7,178,392,529,4,35,1294,184,248,4922,4398,MA,Public,4 Year,12306.0,10335,22641,16415,28721,,,,
653,Francis Marion University,3944,South Carolina,11,47,1778,56,2,63,1932,38,45,1904,2769,SC,Public,4 Year,7948.0,11160,19108,21544,29492,42900.0,77600.0,58.0,18.0
654,Franciscan University of Steubenville,2714,Ohio,3,50,12,248,1,35,370,56,173,2136,1648,OH,Private,4 Year,8500.0,27630,36130,27630,36130,,,,
655,Frank Phillips College,1348,Texas,64,5,61,182,1,13,313,0,21,1001,778,TX,Public,2 Year,5040.0,2838,7878,3850,8890,,,,
656,Franklin & Marshall College,2209,Pennsylvania,2,101,122,177,0,300,446,44,156,1307,1131,PA,Private,4 Year,14050.0,56750,70800,56750,70800,,,,
657,Franklin Pierce University,2275,New Hampshire,10,36,81,40,3,54,233,63,257,1731,1280,NH,Private,4 Year,13345.0,36900,50245,36900,50245,47800.0,85600.0,52.0,3.0
658,Franklin University,5732,Ohio,11,196,1199,180,6,90,1769,177,241,3632,3284,OH,Private,4 Year,,15805,15805,15805,15805,,,,
659,Franklin W. Olin College of Engineering,350,Massachusetts,1,51,3,12,0,38,88,21,37,187,168,MA,Private,4 Year,16300.0,53736,70036,53736,70036,,,,
660,Frederick Community College,6031,Maryland,23,281,777,583,0,36,1848,184,31,4116,3411,MD,Public,2 Year,,4457,4457,11627,11627,,,,
661,Freed-Hardeman University,1867,Tennessee,4,10,230,38,0,33,310,28,211,1313,1091,TN,Private,4 Year,8260.0,21950,30210,21950,30210,43700.0,78200.0,54.0,9.0
662,Fremont College,387,California,0,23,95,194,6,0,330,12,33,24,243,CA,For Profit,2 Year,,36400,36400,36400,36400,,,,
663,Fresno City College,22307,California,133,3213,1392,11534,41,6,16872,559,354,5075,11653,CA,Public,2 Year,,1420,1420,9160,9160,,,,
